Variable	Label	Weight
COEF92		1.647
COEF93		0.665
COEF94		1.139
COEF95		1.276
COEF96		1.75
COEF97		0.668
COEF98		1.142
COEF99		1.279
COEF100		1.753
COEF101		0.685
COEF102		1.16
COEF103		1.296
COEF104		1.77
COEF105		0.872
COEF106		1.283
COEF107		1.371
COEF108		1.782
COEF109		1.113
COEF110		1.55
COEF111		1.473
COEF112		1.91
COEF113		1.305
COEF114		1.742
COEF115		1.664
COEF116		2.101
COEF117		1.504
COEF118		1.941
COEF119		1.863
COEF120		2.3
COEF121		1.594
COEF122		2.031
COEF123		1.953
COEF124		2.391
COEF125		1.58
COEF126		2.017
COEF127		1.939
COEF128		2.376
NECOEF1_1		0.515
NECOEF1_2		0.83
NECOEF1_3		0
NECOEF1_4		0
NECOEF2_1		0.653
NECOEF2_2		0.969
NECOEF2_3		0
NECOEF2_4		0
NECOEF3_1		0.858
NECOEF3_2		1.173
NECOEF3_3		0
NECOEF3_4		0
NECOEF4_1		0.969
NECOEF4_2		1.285
NECOEF4_3		0
NECOEF4_4		0
NECOEF5_1		1.079
NECOEF5_2		1.394
NECOEF5_3		0
NECOEF5_4		0
NECOEF6_1		0.51
NECOEF6_2		0.98
NECOEF6_3		1.111
NECOEF6_4		1.581
NECOEF7_1		0.545
NECOEF7_2		1.015
NECOEF7_3		1.146
NECOEF7_4		1.617
NECOEF8_1		0.572
NECOEF8_2		1.042
NECOEF8_3		1.173
NECOEF8_4		1.643
NECOEF9_1		0.615
NECOEF9_2		1.085
NECOEF9_3		1.216
NECOEF9_4		1.687
NECOEF10_1		0.644
NECOEF10_2		1.114
NECOEF10_3		1.245
NECOEF10_4		1.716
NECOEF11_1		0.756
NECOEF11_2		1.193
NECOEF11_3		1.367
NECOEF11_4		1.805
NECOEF12_1		0.96
NECOEF12_2		1.333
NECOEF12_3		1.459
NECOEF12_4		1.833
NECOEF13_1		1.106
NECOEF13_2		1.48
NECOEF13_3		1.605
NECOEF13_4		1.979
NECOEF14_1		1.245
NECOEF14_2		1.618
NECOEF14_3		1.744
NECOEF14_4		2.118
NECOEF15_1		1.354
NECOEF15_2		1.727
NECOEF15_3		1.853
NECOEF15_4		2.227
NECOEF16_1		1.199
NECOEF16_2		1.573
NECOEF16_3		1.699
NECOEF16_4		2.072
NECOEF17_1		0.329
NECOEF17_2		0.672
NECOEF17_3		0
NECOEF17_4		0
NECOEF18_1		0.576
NECOEF18_2		0.919
NECOEF18_3		0
NECOEF18_4		0
NECOEF19_1		0.695
NECOEF19_2		1.039
NECOEF19_3		0
NECOEF19_4		0
NECOEF20_1		0.872
NECOEF20_2		1.215
NECOEF20_3		0
NECOEF20_4		0
NECOEF21_1		1.023
NECOEF21_2		1.366
NECOEF21_3		0
NECOEF21_4		0
NECOEF22_1		0.543
NECOEF22_2		1.018
NECOEF22_3		1.079
NECOEF22_4		1.553
NECOEF23_1		0.562
NECOEF23_2		1.036
NECOEF23_3		1.173
NECOEF23_4		1.647
NECOEF24_1		0.665
NECOEF24_2		1.139
NECOEF24_3		1.276
NECOEF24_4		1.75
NECOEF25_1		0.668
NECOEF25_2		1.142
NECOEF25_3		1.279
NECOEF25_4		1.753
NECOEF26_1		0.685
NECOEF26_2		1.16
NECOEF26_3		1.296
NECOEF26_4		1.77
NECOEF27_1		0.872
NECOEF27_2		1.283
NECOEF27_3		1.371
NECOEF27_4		1.782
NECOEF28_1		1.113
NECOEF28_2		1.55
NECOEF28_3		1.473
NECOEF28_4		1.91
NECOEF29_1		1.305
NECOEF29_2		1.742
NECOEF29_3		1.664
NECOEF29_4		2.101
NECOEF30_1		1.504
NECOEF30_2		1.941
NECOEF30_3		1.863
NECOEF30_4		2.3
NECOEF31_1		1.594
NECOEF31_2		2.031
NECOEF31_3		1.953
NECOEF31_4		2.391
NECOEF32_1		1.58
NECOEF32_2		2.017
NECOEF32_3		1.939
NECOEF32_4		2.376
